N,L,choice,numProc,numThread,timeTaken
120,18,0,6,6,0.000100851
120,18,0,6,6,9.89437e-05
120,18,0,6,6,0.000101089
120,18,0,6,6,0.000106812
120,18,1,6,6,3.98159e-05
120,18,1,6,6,3.88622e-05
120,18,1,6,6,4.07696e-05
120,18,1,6,6,4.00543e-05
120,18,2,6,6,0.000181913
120,18,2,6,6,0.000154018
120,18,2,6,6,0.000165939
120,18,2,6,6,0.000158072
120,18,3,6,6,0.000180006
120,18,3,6,6,0.000151873
120,18,3,6,6,0.000172138
120,18,3,6,6,0.00014782
120,18,4,6,6,0.000156879
120,18,4,6,6,0.000172138
120,18,4,6,6,0.000164032
120,18,4,6,6,0.000161886
120,18,5,6,6,0.0013361
120,18,5,6,6,0.00175905
120,18,5,6,6,0.00492597
120,18,5,6,6,0.00187993
10549,100,0,6,6,0.33831
10549,100,0,6,6,0.337544
10549,100,0,6,6,0.337823
10549,100,0,6,6,0.338698
10549,100,1,6,6,0.125402
10549,100,1,6,6,0.125264
10549,100,1,6,6,0.125275
10549,100,1,6,6,0.126306
10549,100,2,6,6,0.0663571
10549,100,2,6,6,0.066128
10549,100,2,6,6,0.0665882
10549,100,2,6,6,0.066756
10549,100,3,6,6,0.038187
10549,100,3,6,6,0.0377321
10549,100,3,6,6,0.037622
10549,100,3,6,6,0.0382171
10549,100,4,6,6,0.0213778
10549,100,4,6,6,0.0209649
10549,100,4,6,6,0.020612
10549,100,4,6,6,0.0211451
10549,100,5,6,6,0.042506
10549,100,5,6,6,0.0432122
10549,100,5,6,6,0.0424759
10549,100,5,6,6,0.357758
147023,200,0,6,6,64.2795
147023,200,0,6,6,64.7845
147023,200,0,6,6,65.1539
147023,200,0,6,6,65.459
147023,200,1,6,6,23.9791
147023,200,1,6,6,23.9673
147023,200,1,6,6,24.0132
147023,200,1,6,6,24.084
147023,200,2,6,6,12.6231
147023,200,2,6,6,12.6746
147023,200,2,6,6,12.6962
147023,200,2,6,6,12.6769
147023,200,3,6,6,7.13002
147023,200,3,6,6,7.11507
147023,200,3,6,6,7.14226
147023,200,3,6,6,7.14549
147023,200,4,6,6,3.89449
147023,200,4,6,6,3.93669
147023,200,4,6,6,3.87279
147023,200,4,6,6,3.93511
147023,200,5,6,6,6.10289
147023,200,5,6,6,6.13227
147023,200,5,6,6,6.1055
147023,200,5,6,6,6.15221
120,18,0,6,6,9.98974e-05
120,18,1,6,6,4.91142e-05
120,18,2,6,6,0.000167131
120,18,3,6,6,0.000163078
120,18,4,6,6,0.000149965
120,18,5,6,6,0.00163293
10549,100,0,6,6,0.338727
10549,100,1,6,6,0.125362
10549,100,2,6,6,0.066268
10549,100,3,6,6,0.038007
10549,100,4,6,6,0.0205369
10549,100,5,6,6,0.041656
147023,200,0,6,6,64.3085
147023,200,1,6,6,23.8523
147023,200,2,6,6,12.6504
147023,200,3,6,6,7.12819
147023,200,4,6,6,3.90592
147023,200,5,6,6,6.09062

120,18,7,6,6,0.000174046
120,18,7,6,6,0.000183105
120,18,7,6,6,0.000169992
120,18,7,6,6,0.000172853
120,18,8,6,6,5.29289e-05
120,18,8,6,6,5.19753e-05
120,18,8,6,6,5.00679e-05
120,18,8,6,6,6.10352e-05
120,18,9,6,6,0.00169015
120,18,9,6,6,0.0012331
120,18,9,6,6,0.00161695
120,18,9,6,6,0.00121593
10549,100,7,6,6,0.0263562
10549,100,7,6,6,0.0264041
10549,100,7,6,6,0.0264089
10549,100,7,6,6,0.0263779
10549,100,8,6,6,0.00509
10549,100,8,6,6,0.00489998
10549,100,8,6,6,0.00491881
10549,100,8,6,6,0.00493717
10549,100,9,6,6,0.0110629
10549,100,9,6,6,0.0118852
10549,100,9,6,6,0.0117271
10549,100,9,6,6,0.0959148
147023,200,7,6,6,0.553533
147023,200,7,6,6,0.557611
147023,200,7,6,6,0.558289
147023,200,7,6,6,0.558151
147023,200,8,6,6,0.097857
147023,200,8,6,6,0.0947449
147023,200,8,6,6,0.0970831
147023,200,8,6,6,0.0969231
147023,200,9,6,6,0.164268
147023,200,9,6,6,0.173577
147023,200,9,6,6,0.166398
147023,200,9,6,6,0.270756
120,18,7,6,6,0.000170946
120,18,7,6,6,0.000169992
120,18,7,6,6,0.000172853
120,18,7,6,6,0.000173092
120,18,8,6,6,5.6982e-05
120,18,8,6,6,5.19753e-05
120,18,8,6,6,5.38826e-05
120,18,8,6,6,5.19753e-05
120,18,9,6,6,0.00129104
120,18,9,6,6,0.00126886
120,18,9,6,6,0.00137591
120,18,9,6,6,0.00166011
10549,100,7,6,6,0.0263162
10549,100,7,6,6,0.0267711
10549,100,7,6,6,0.0264001
10549,100,7,6,6,0.026294
10549,100,8,6,6,0.00490594
10549,100,8,6,6,0.00493288
10549,100,8,6,6,0.00488806
10549,100,8,6,6,0.00489187
10549,100,9,6,6,0.011436
10549,100,9,6,6,0.012486
10549,100,9,6,6,0.0273499
10549,100,9,6,6,0.0112281
147023,200,7,6,6,0.535016
147023,200,7,6,6,0.556407
147023,200,7,6,6,0.559395
147023,200,7,6,6,0.561444
147023,200,8,6,6,0.093575
147023,200,8,6,6,0.0978091
147023,200,8,6,6,0.0984509
147023,200,8,6,6,0.0935268
147023,200,9,6,6,0.17994
147023,200,9,6,6,0.164846
147023,200,9,6,6,0.23788
147023,200,9,6,6,0.169259
