N,L,choice,numProc,numThread,timeTaken
120,18,4,1,1,7.70092e-05
120,18,4,2,2,0.000691891
120,18,4,4,4,0.000818014
120,18,4,3,3,8.2016e-05
120,18,4,5,5,0.000611067
120,18,5,1,1,0.000766993
120,18,5,2,2,0.000911951
120,18,5,4,4,0.00109196
120,18,5,3,3,0.000961065
120,18,5,5,5,0.00159001
120,18,4,1,1,6.69956e-05
120,18,4,2,2,7.79629e-05
120,18,5,1,1,0.000776052
120,18,4,3,3,8.60691e-05
120,18,4,4,4,0.000118017
120,18,4,5,5,0.000135899
120,18,4,1,1,6.91414e-05
120,18,5,2,2,0.000904083
120,18,5,3,3,0.000952005
120,18,5,4,4,0.001441
120,18,5,5,5,0.00107312
120,18,5,1,1,0.000794888
120,18,4,2,2,6.31809e-05
120,18,4,3,3,8.4877e-05
120,18,4,5,5,0.000144958
120,18,4,4,4,0.000113964
120,18,4,1,1,6.69956e-05
120,18,5,2,2,0.000910997
120,18,5,1,1,0.000797987
120,18,5,3,3,0.00131297
120,18,5,5,5,0.001127
120,18,5,4,4,0.00109601
120,18,4,1,1,7.00951e-05
120,18,4,2,2,6.8903e-05
120,18,4,3,3,9.41753e-05
120,18,4,5,5,0.000140905
120,18,4,4,4,9.58443e-05
120,18,5,1,1,0.000790834
120,18,5,2,2,0.000916004
120,18,5,3,3,0.0010078
120,18,5,5,5,0.00154209
120,18,5,4,4,0.00151992
10549,100,4,1,1,0.121937
120,18,4,2,2,6.79493e-05
120,18,4,3,3,7.70092e-05
120,18,4,5,5,0.000137806
120,18,4,4,4,0.000115871
120,18,5,2,2,0.000932932
120,18,5,3,3,0.000977039
120,18,5,5,5,0.00113487
10549,100,5,1,1,0.189645
120,18,5,4,4,0.00102901
10549,100,4,3,3,0.041893
10549,100,4,5,5,0.0251091
10549,100,4,2,2,0.0614529
10549,100,4,4,4,0.0307531
10549,100,4,1,1,0.122171
10549,100,5,3,3,0.0711031
10549,100,5,5,5,0.048857
10549,100,5,4,4,0.0555401
10549,100,5,2,2,0.100005
10549,100,5,1,1,0.189999
10549,100,4,2,2,0.06106
10549,100,4,5,5,0.0257912
10549,100,4,3,3,0.0410888
10549,100,4,4,4,0.0308149
10549,100,4,1,1,0.122086
10549,100,5,3,3,0.0709679
10549,100,5,5,5,0.048136
10549,100,5,4,4,0.0562041
10549,100,5,2,2,0.100026
10549,100,5,1,1,0.189811
10549,100,4,4,4,0.03076
10549,100,4,3,3,0.041358
10549,100,4,5,5,0.0260842
10549,100,4,2,2,0.061048
10549,100,4,1,1,0.122125
10549,100,5,3,3,0.0709531
10549,100,5,5,5,0.0477612
10549,100,5,4,4,0.0560541
10549,100,5,2,2,0.100008
10549,100,5,1,1,0.189803
10549,100,4,3,3,0.04334
10549,100,4,4,4,0.030901
10549,100,4,2,2,0.0611188
10549,100,4,5,5,0.0250051
10549,100,4,1,1,0.122148
10549,100,5,3,3,0.0720332
10549,100,5,4,4,0.055521
10549,100,5,5,5,0.0474861
10549,100,5,2,2,0.100041
10549,100,5,1,1,0.18913
10549,100,4,3,3,0.0410941
10549,100,4,4,4,0.030812
10549,100,4,5,5,0.0253179
10549,100,4,2,2,0.0611281
10549,100,5,4,4,0.0556171
10549,100,5,3,3,0.0709529
10549,100,5,5,5,0.0481701
10549,100,5,2,2,0.100413
147023,200,4,5,5,4.78882
147023,200,4,4,4,5.98244
147023,200,4,3,3,8.26422
147023,200,4,2,2,12.1452
147023,200,5,5,5,7.28545
147023,200,4,1,1,23.3448
147023,200,5,4,4,9.02912
147023,200,5,3,3,11.9658
147023,200,4,5,5,4.69239
147023,200,4,4,4,5.85143
147023,200,5,2,2,17.7676
147023,200,4,3,3,7.92273
147023,200,5,5,5,7.28461
147023,200,5,4,4,9.03214
147023,200,4,2,2,11.8543
147023,200,4,5,5,4.70203
147023,200,5,3,3,11.9482
147023,200,5,1,1,35.2847
147023,200,4,4,4,5.85581
147023,200,5,5,5,7.27085
147023,200,4,3,3,7.93672
147023,200,5,2,2,17.7794
147023,200,5,4,4,9.0151
147023,200,4,5,5,4.70588
147023,200,4,1,1,23.3547
147023,200,4,4,4,5.9273
147023,200,5,3,3,11.9547
147023,200,5,5,5,7.27139
147023,200,4,2,2,11.956
120,18,4,6,6,0.000490904
120,18,4,7,7,0.000980854
120,18,5,6,6,0.001261
120,18,5,7,7,0.0021522
120,18,4,6,6,0.000198126
120,18,4,7,7,0.000254869
120,18,5,6,6,0.00125098
120,18,5,7,7,0.00132298
120,18,4,6,6,0.00019598
120,18,4,7,7,0.000422001
120,18,5,6,6,0.00126886
120,18,5,7,7,0.00178599
120,18,4,6,6,0.000181913
120,18,4,7,7,0.000200987
120,18,5,6,6,0.00124502
120,18,5,7,7,0.00178194
120,18,4,6,6,0.000194073
120,18,5,6,6,0.00121999
120,18,4,7,7,0.000216007
10549,100,4,6,6,0.0209301
120,18,5,7,7,0.00169683
10549,100,5,6,6,0.042042
10549,100,4,7,7,0.01859
10549,100,4,6,6,0.0213401
10549,100,5,7,7,0.038856
10549,100,5,6,6,0.0422518
10549,100,4,7,7,0.0179141
10549,100,4,6,6,0.0211031
10549,100,5,7,7,0.0387189
10549,100,5,6,6,0.0423079
10549,100,4,6,6,0.0210102
10549,100,4,7,7,0.0189178
10549,100,5,6,6,0.0428789
10549,100,5,7,7,0.0393112
10549,100,4,6,6,0.0214779
10549,100,4,7,7,0.0183809
10549,100,5,6,6,0.0429311
10549,100,5,7,7,0.0381961
10549,100,4,7,7,0.0187418
10549,100,5,7,7,0.0393741
147023,200,5,4,4,9.04052
147023,200,4,3,3,7.91346
147023,200,4,5,5,4.87789
147023,200,4,6,6,3.92099
147023,200,4,7,7,3.36519
147023,200,5,2,2,17.8052
147023,200,4,4,4,6.09019
147023,200,5,6,6,6.10829
147023,200,5,5,5,7.28261
147023,200,5,7,7,5.26046
147023,200,5,3,3,11.9858
